exists file 
exists file 
exists file 
exists file 
exists file 
exists file 
exists file 
exists file 
Not Android platform, skipping copyExternalDB
Treatment plans table ensured
Treatment plans table ensured
Treatment plans table ensured
Invoices table ensured
Invoices table ensured
Invoices table ensured
Checking App ID: 220, Start: 2026-02-25 10:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 12394m
Checking App ID: 221, Start: 2026-02-25 11:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 12454m
Checking App ID: 222, Start: 2026-02-25 11:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 12454m
Checking App ID: 223, Start: 2026-02-25 13:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 12574m
Checking App ID: 224, Start: 2026-02-26 11:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 13894m
Checking App ID: 225, Start: 2026-02-26 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 13954m
Checking App ID: 226, Start: 2026-02-26 13:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 14014m
Checking App ID: 227, Start: 2026-02-26 15:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 14134m
Checking App ID: 228, Start: 2026-02-28 08:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 16594m
Checking App ID: 229, Start: 2026-02-28 11:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 16774m
Checking App ID: 230, Start: 2026-02-24 15:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 11254m
Checking App ID: 231, Start: 2026-02-28 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 16834m
Checking App ID: 232, Start: 2026-02-28 14:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 16984m
Checking App ID: 233, Start: 2026-02-28 13:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 16894m
Checking App ID: 234, Start: 2026-02-28 15:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 17044m
Checking App ID: 235, Start: 2026-03-02 10:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 19624m
Checking App ID: 236, Start: 2026-03-02 09:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 19534m
Checking App ID: 237, Start: 2026-02-28 17:20:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 17154m
Checking App ID: 238, Start: 2026-03-02 13:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 19804m
Checking App ID: 239, Start: 2026-03-02 15:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 19924m
Checking App ID: 240, Start: 2026-02-14 09:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -3505m
Checking App ID: 241, Start: 2026-02-15 11:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1915m
Checking App ID: 242, Start: 2026-02-17 17:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 1294m
Checking App ID: 243, Start: 2026-02-17 16:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 1234m
Checking App ID: 244, Start: 2026-03-21 15:40:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 47294m
Checking App ID: 246, Start: 2026-03-01 14:43:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 18437m
Checking App ID: 247, Start: 2026-05-17 12:50:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 129144m
Checking App ID: 248, Start: 2026-02-22 17:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 8524m
Checking App ID: 249, Start: 2026-02-22 15:40:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 8414m
Checking App ID: 250, Start: 2026-03-01 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 18274m
Checking App ID: 251, Start: 2026-02-25 14:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 12634m
Checking App ID: 252, Start: 2026-03-04 14:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 22744m
Checking App ID: 253, Start: 2026-03-04 11:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 22534m
Checking App ID: 254, Start: 2026-03-04 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 22594m
Checking App ID: 255, Start: 2026-03-04 13:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 22654m
Checking App ID: 256, Start: 2026-03-05 12:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 24064m
Checking App ID: 257, Start: 2026-03-05 13:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 24094m
Checking App ID: 258, Start: 2026-03-05 14:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 24154m
Checking App ID: 259, Start: 2026-03-05 11:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 23974m
Checking App ID: 260, Start: 2026-03-05 16:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 24274m
Checking App ID: 261, Start: 2026-03-07 09:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 26734m
Checking App ID: 262, Start: 2026-03-07 12:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 26944m
Checking App ID: 263, Start: 2026-03-07 13:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 26974m
Checking App ID: 264, Start: 2026-03-11 11:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 32614m
Checking App ID: 265, Start: 2026-03-07 11:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 26884m
Checking App ID: 266, Start: 2026-03-09 09:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 29614m
Checking App ID: 267, Start: 2026-02-19 09:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 3694m
Checking App ID: 268, Start: 2026-03-09 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 29794m
Checking App ID: 269, Start: 2026-03-09 13:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 29854m
Checking App ID: 270, Start: 2026-03-09 15:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 30004m
Checking App ID: 271, Start: 2026-03-07 10:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 26794m
Checking App ID: 272, Start: 2026-03-12 11:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 34054m
Checking App ID: 273, Start: 2026-03-11 14:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 32824m
Checking App ID: 274, Start: 2026-03-11 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 32674m
Checking App ID: 275, Start: 2026-03-12 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: 34114m
